Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	OK		LT2					Annotation submitted by Washington University Genome Sequencing Center	4951383	2	Complete Genome	2016-01-13		4857450	4857450	2								Washington University Genome Sequencing Center	PRJNA241	SAMN02604315	4717	4554	39	assembly from type material	Salmonella enterica	99.71	0.44
GCF_000006945.2	ASM694v2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	OK		LT2					Annotation submitted by NCBI RefSeq	4951383	2	Complete Genome	2016-01-13		4857450	4857450	2								Washington University Genome Sequencing Center	PRJNA241	SAMN02604315	4717	4554	39	assembly from type material	Salmonella enterica	99.71	0.44
GCA_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv	83332	OK		H37Rv					Annotation submitted by Sanger Institute	4411532	1	Complete Genome	2013-02-01		4411532	4411532	1								Sanger Institute	PRJNA224	SAMEA3138326	4111	4018	13	assembly from type material	Mycobacterium tuberculosis	97.78	0.37
GCF_000195955.2	ASM19595v2	Mycobacterium tuberculosis H37Rv	83332	OK		H37Rv					Annotation submitted by NCBI RefSeq	4411532	1	Complete Genome	2013-02-01		4411532	4411532	1								Sanger Institute	PRJNA224	SAMEA3138326	4008	3906	30	assembly from type material	Mycobacterium tuberculosis	97.78	0.37
GCA_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	224308	OK		168					Annotation submitted by BSNR	4215606	1	Complete Genome	2009-03-17		4215606	4215606	1								BSNR	PRJNA76	SAMEA3138188	4546	4243	90	assembly from type material	Bacillus subtilis	98.62	1.32
GCF_000009045.1	ASM904v1	Bacillus subtilis subsp. subtilis str. 168	224308	OK		168					Annotation submitted by NCBI RefSeq	4215606	1	Complete Genome	2009-03-17		4215606	4215606	1								BSNR	PRJNA76	SAMEA3138188	4536	4237	88	assembly from type material	Bacillus subtilis	98.62	1.32
GCA_009035845.1	ASM903584v1	Acinetobacter baumannii	470	OK		ATCC 19606					Annotation submitted by University of Technology Sydney	3999136	3	Complete Genome	2019-10-16		3981941	3981941	3							Illumina MiSeq; Oxford Nanopore MiniION	University of Technology Sydney	PRJNA557095	SAMN12389466	3824	3731		assembly from type material	Acinetobacter baumannii	99.52	0.06
GCF_009035845.1	ASM903584v1	Acinetobacter baumannii	470	OK		ATCC 19606					GCF_009035845.1-RS_2024_03_30	3999136	3	Complete Genome	2019-10-16		3981941	3981941	3							Illumina MiSeq; Oxford Nanopore MiniION	University of Technology Sydney	PRJNA557095	SAMN12389466	3832	3686	50	assembly from type material	Acinetobacter baumannii	99.52	0.06
GCA_000015785.2	ASM1578v2	Bacillus velezensis FZB42	326423	OK		FZB42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3918596	1	Complete Genome	2019-06-24		3918596	3918596	1								Competence Network	PRJNA13403	SAMN02603158	3921	3710	89	assembly from synonym type material	Bacillus	99.41	
GCF_000015785.2	ASM1578v2	Bacillus velezensis FZB42	326423	OK		FZB42					GCF_000015785.2-RS_2024_04_02	3918596	1	Complete Genome	2019-06-24		3918596	3918596	1								Competence Network	PRJNA13403	SAMN02603158	3882	3680	81	assembly from synonym type material	Bacillus	99.41	
GCA_001457635.1	NCTC7465	Streptococcus pneumoniae	1313	OK		NCTC7465					Annotation submitted by SC	2110968	1	Complete Genome	2015-03-22		2110968	2110968	1								SC	PRJEB6403	SAMEA2479568	2147	2088		assembly from type material	Streptococcus pneumoniae	98.4	0.94
GCF_001457635.1	NCTC7465	Streptococcus pneumoniae	1313	OK		NCTC7465					GCF_001457635.1-RS_2024_10_11	2110968	1	Complete Genome	2015-03-22		2110968	2110968	1								SC	PRJEB6403	SAMEA2479568	2189	1931	185	assembly from type material	Streptococcus pneumoniae	98.4	0.94
GCA_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164	1211579	OK		NBRC 14164					Annotation submitted by National Institute of Technology and Evaluation	6156701	1	Complete Genome	2013-06-14		6156701	6156701	1							ABI3730; GS-FLX Titanium; Illumina HiSeq 1000 paired-end	National Institute of Technology and Evaluation	PRJDB191	SAMD00061028	5544	5449		assembly from type material	Pseudomonas putida	99.71	1.33
GCF_000412675.1	ASM41267v1	Pseudomonas putida NBRC 14164	1211579	OK		NBRC 14164					GCF_000412675.1-RS_2024_12_11	6156701	1	Complete Genome	2013-06-14		6156701	6156701	1							ABI3730; GS-FLX Titanium; Illumina HiSeq 1000 paired-end	National Institute of Technology and Evaluation	PRJDB191	SAMD00061028	5573	5376	96	assembly from type material	Pseudomonas putida	99.71	1.33
GCA_025998455.1	ASM2599845v1	Helicobacter pylori	210	OK		CHC155					Annotation submitted by Oita University	1696601	1	Complete Genome	2022-10-20		1696601	1696601	1							PacBio Sequel II	Oita University	PRJDB10671	SAMD00509734	1621	1580		assembly from type material	Helicobacter pylori	99.14	
GCF_025998455.1	ASM2599845v1	Helicobacter pylori	210	OK		CHC155					GCF_025998455.1-RS_2024_12_09	1696601	1	Complete Genome	2022-10-20		1696601	1696601	1							PacBio Sequel II	Oita University	PRJDB10671	SAMD00509734	1629	1506	78	assembly from type material	Helicobacter pylori	99.14	
GCA_019048245.1	ASM1904824v1	Enterobacter hormaechei	158836	OK		FDAARGOS 1433					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4915930	3	Complete Genome	2021-06-28		4197933	4197933	3							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357575	4747	4552	74	assembly from type material	Enterobacter	99.57	0.06
GCF_019048245.1	ASM1904824v1	Enterobacter hormaechei	158836	OK		FDAARGOS 1433					GCF_019048245.1-RS_2024_03_31	4915930	3	Complete Genome	2021-06-28		4197933	4197933	3							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357575	4774	4577	76	assembly from type material	Enterobacter	99.57	0.06
GCA_900186865.1	49243_F02	Stenotrophomonas maltophilia	40324	OK		NCTC10257					Annotation submitted by SC	5004261	1	Complete Genome	2017-08-15		5004261	5004261	1								SC	PRJEB6403	SAMEA4076705	4649	4555		assembly from type material	Stenotrophomonas maltophilia	98.37	0.83
GCF_900186865.1	49243_F02	Stenotrophomonas maltophilia	40324	OK		NCTC10257					GCF_900186865.1-RS_2024_05_05	5004261	1	Complete Genome	2017-08-15		5004261	5004261	1								SC	PRJEB6403	SAMEA4076705	4669	4517	62	assembly from type material	Stenotrophomonas maltophilia	98.37	0.83
GCA_006094375.1	ASM609437v1	Staphylococcus epidermidis	1282	OK		ATCC 14990					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2491058	3	Complete Genome	2019-06-06		2466502	2466502	3							Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA515334	SAMN10738425	2457	2312	63	assembly from type material	Staphylococcus epidermidis	99.68	
GCF_006094375.1	ASM609437v1	Staphylococcus epidermidis	1282	OK		ATCC 14990					GCF_006094375.1-RS_2024_04_23	2491058	3	Complete Genome	2019-06-06		2466502	2466502	3							Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA515334	SAMN10738425	2368	2231	53	assembly from type material	Staphylococcus epidermidis	99.68	
GCA_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581	1348623	OK		ATCC 14581					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5746548	7	Complete Genome	2019-06-06		5343009	5343009	7							Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA514939	SAMN10738403	5913	5596	145	assembly from type material	Bacillus megaterium	96.93	4.48
GCF_006094495.1	ASM609449v1	Priestia megaterium NBRC 15308 = ATCC 14581	1348623	OK		ATCC 14581					GCF_006094495.1-RS_2024_05_17	5746548	7	Complete Genome	2019-06-06		5343009	5343009	7							Oxford Nanopore GridION	Zhejiang Tianke High Technology Development Co.Ltd.	PRJNA514939	SAMN10738403	6003	5754	78	assembly from type material	Bacillus megaterium	96.93	4.48
GCA_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217	565042	OK		JCM 1217					Annotation submitted by University of Tokyo, Graduate School of Frontier Sciences	2385164	1	Complete Genome	2011-01-28		2385164	2385164	1								University of Tokyo, Graduate School of Frontier Sciences	PRJDA32047	SAMD00060951	2009	1924		assembly from type material	Bifidobacterium longum	98.91	0.16
GCF_000196555.1	ASM19655v1	Bifidobacterium longum subsp. longum JCM 1217	565042	OK		JCM 1217					GCF_000196555.1-RS_2024_12_11	2385164	1	Complete Genome	2011-01-28		2385164	2385164	1								University of Tokyo, Graduate School of Frontier Sciences	PRJDA32047	SAMD00060951	2033	1903	37	assembly from type material	Bifidobacterium longum	98.91	0.16
GCA_034478925.1	ASM3447892v1	Bacillus licheniformis	1402	OK		ATCC 14580					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4227253	1	Complete Genome	2023-12-19		4227253	4227253	1							Oxford Nanopore MinION; Illumina MiniSeq	Cultivarium	PRJNA1037563	SAMN38186259	4379	4187	82	assembly from type material	Bacillus licheniformis	98.5	0.83
GCF_034478925.1	ASM3447892v1	Bacillus licheniformis	1402	OK		ATCC 14580					GCF_034478925.1-RS_2024_12_09	4227253	1	Complete Genome	2023-12-19		4227253	4227253	1							Oxford Nanopore MinION; Illumina MiniSeq	Cultivarium	PRJNA1037563	SAMN38186259	4384	4174	100	assembly from type material	Bacillus licheniformis	98.5	0.83
GCA_019048645.1	ASM1904864v1	Streptococcus mutans	1309	OK		FDAARGOS 1458					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019345	1	Complete Genome	2021-06-28		2019345	2019345	1							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357600	1993	1858	51	assembly from type material	Streptococcus mutans	99.65	0.41
GCF_019048645.1	ASM1904864v1	Streptococcus mutans	1309	OK		FDAARGOS 1458					GCF_019048645.1-RS_2024_07_20	2019345	1	Complete Genome	2021-06-28		2019345	2019345	1							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN16357600	2009	1865	60	assembly from type material	Streptococcus mutans	99.65	0.41
GCA_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola	2590157	OK		F2R9T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5521194	1	Complete Genome	2021-10-19		5521194	5521194	1							Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Monash University	PRJNA768294	SAMN22024815	5331	5121	85	assembly from type material	Klebsiella	99.32	0.4
GCF_020525545.1	ASM2052554v1	Klebsiella variicola subsp. variicola	2590157	OK		F2R9T					GCF_020525545.1-RS_2024_12_09	5521194	1	Complete Genome	2021-10-19		5521194	5521194	1							Minion (Oxford Nanopore) and NextSeq 500/550 (Illumina)	Monash University	PRJNA768294	SAMN22024815	5337	5117	95	assembly from type material	Klebsiella	99.32	0.4
GCA_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae	1463165	OK		FDAARGOS_1503					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5498848	3	Complete Genome	2021-09-23		5343479	5343479	3							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN21218859	5280	5052	105	assembly from type material	Klebsiella	99.12	0.82
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae	1463165	OK		FDAARGOS_1503					GCF_020099175.1-RS_2024_12_09	5498848	3	Complete Genome	2021-09-23		5343479	5343479	3							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN21218859	5291	5069	99	assembly from type material	Klebsiella	99.12	0.82
GCA_022869645.1	ASM2286964v1	Neisseria meningitidis	487	OK		PartJ-Nmeningitidis-RM8376					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2181327	1	Complete Genome	2022-04-11		2181327	2181327	1							Illumina; PacBio	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	PRJNA605254	SAMN14078801	2217	1964	178	assembly from type material	Neisseria meningitidis	98.76	0.15
GCF_022869645.1	ASM2286964v1	Neisseria meningitidis	487	OK		PartJ-Nmeningitidis-RM8376					GCF_022869645.1-RS_2024_04_26	2181327	1	Complete Genome	2022-04-11		2181327	2181327	1							Illumina; PacBio	National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	PRJNA605254	SAMN14078801	2201	1974	152	assembly from type material	Neisseria meningitidis	98.76	0.15
GCA_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	OK		ATCC 7966					Annotation submitted by TIGR	4744448	1	Complete Genome	2006-11-06		4744448	4744448	1								TIGR	PRJNA16697	SAMN02604052	4286	4122	7	assembly from type material	Aeromonas hydrophila	99.05	0.93
GCF_000014805.1	ASM1480v1	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	OK		ATCC 7966					GCF_000014805.1-RS_2024_12_11	4744448	1	Complete Genome	2006-11-06		4744448	4744448	1								TIGR	PRJNA16697	SAMN02604052	4356	4166	28	assembly from type material	Aeromonas hydrophila	99.05	0.93
GCA_016027375.1	ASM1602737v1	Clostridium perfringens	1502	OK		FDAARGOS_903					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3355233	2	Complete Genome	2020-12-14		3300922	3300922	2							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN13450433	3046	2881	37	assembly from type material	Clostridium perfringens	96.42	3.85
GCF_016027375.1	ASM1602737v1	Clostridium perfringens	1502	OK		FDAARGOS_903					GCF_016027375.1-RS_2024_10_16	3355233	2	Complete Genome	2020-12-14		3300922	3300922	2							Pacbio; Illumina	US Food and Drug Administration	PRJNA231221	SAMN13450433	3062	2908	26	assembly from type material	Clostridium perfringens	96.42	3.85
